Time [s],Value,Parity Error,Framing Error
-1e-006,0xFF,,
9e-006,0xFF,,
1.9e-005,0x01,,
2.9e-005,0x05,,
3.9e-005,0x03,,
4.9e-005,0x20,,
5.9e-005,0x50,,
6.9e-005,0x00,,
7.90625e-005,0x86,,
0.0029146875,0xFF,,
0.0029246875,0xFF,,
0.0029346875,0x02,,
0.0029446875,0x05,,
0.0029546875,0x02,,
0.0029646875,0x21,,
0.00297475,0x50,,
0.00298475,0x00,,
0.00299475,0x85,,
0.00552625,0xFF,,
0.00553625,0xFF,,
0.0055463125,0x03,,
0.0055563125,0x05,,
0.0055663125,0x03,,
0.0055763125,0x20,,
0.0055863125,0x50,,
0.0055963125,0x00,,
0.0056063125,0x84,,
0.008292375,0xFF,,
0.008302375,0xFF,,
0.008312375,0x04,,
0.008322375,0x05,,
0.0083324375,0x03,,
0.0083424375,0x20,,
0.0083524375,0x50,,
0.0083624375,0x00,,
0.0083724375,0x83,,
0.010794125,0xFF,,
0.010804125,0xFF,,
0.010814125,0x17,,
0.010824125,0x05,,
0.010834125,0x03,,
0.010844125,0x20,,
0.010854125,0x50,,
0.010864125,0x00,,
0.010874125,0x70,,
0.0111556875,0xFF,,
0.0111656875,0xFF,,
0.0111756875,0x12,,
0.0111856875,0x05,,
0.0111956875,0x03,,
0.0112056875,0x20,,
0.0112156875,0x50,,
0.01122575,0x00,,
0.01123575,0x75,,
0.0114711875,0xFF,,
0.0114811875,0xFF,,
0.0114911875,0x10,,
0.0115011875,0x05,,
0.0115111875,0x03,,
0.0115211875,0x20,,
0.0115311875,0x50,,
0.0115411875,0x00,,
0.01155125,0x77,,
1.01716525,0xFF,,
1.01717525,0xFF,,
1.01718525,0x23,,
1.01719525,0x04,,
1.01720525,0x03,,
1.01721525,0x20,,
1.01722525,0x00,,
1.01723525,0xB5,,
1.0738283125,0xFF,,
1.0738383125,0xFF,,
1.073848375,0x01,,
1.073858375,0x05,,
1.073868375,0x03,,
1.073878375,0x1E,,
1.073888375,0xF3,,
1.073898375,0x01,,
1.073908375,0xE4,,
1.078898375,0xFF,,
1.078908375,0xFF,,
1.078918375,0x02,,
1.078928375,0x05,,
1.078938375,0x03,,
1.078948375,0x1E,,
1.078958375,0xE9,,
1.078968375,0x01,,
1.078978375,0xED,,
1.08379325,0xFF,,
1.08380325,0xFF,,
1.0838133125,0x03,,
1.0838233125,0x05,,
1.0838333125,0x03,,
1.0838433125,0x1E,,
1.0838533125,0x16,,
1.0838633125,0x02,,
1.0838733125,0xBE,,
1.0887264375,0xFF,,
1.0887364375,0xFF,,
1.0887465,0x04,,
1.0887565,0x05,,
1.0887665,0x03,,
1.0887765,0x1E,,
1.0887865,0x0C,,
1.0887965,0x02,,
1.0888065,0xC7,,
1.0906724375,0xFF,,
1.0906824375,0xFF,,
1.0906924375,0x17,,
1.0907024375,0x05,,
1.0907124375,0x03,,
1.0907224375,0x1E,,
1.0907324375,0x9D,,
1.0907424375,0x02,,
1.0907524375,0x23,,
1.091298375,0xFF,,
1.091308375,0xFF,,
1.0913184375,0x12,,
1.0913284375,0x05,,
1.0913384375,0x03,,
1.0913484375,0x1E,,
1.0913584375,0x9E,,
1.0913684375,0x02,,
1.0913784375,0x27,,
1.0919563125,0xFF,,
1.0919663125,0xFF,,
1.0919763125,0x10,,
1.0919863125,0x05,,
1.0919963125,0x03,,
1.0920063125,0x1E,,
1.0920163125,0x00,,
1.0920263125,0x02,,
1.0920363125,0xC7,,
1.1036820625,0xFF,,
1.1036920625,0xFF,,
1.1037020625,0x23,,
1.1037120625,0x04,,
1.1037220625,0x03,,
1.1037320625,0x20,,
1.1037420625,0xFF,,
1.103752125,0xB6,,
1.143831375,0xFF,,
1.143841375,0xFF,,
1.143851375,0x01,,
1.143861375,0x05,,
1.143871375,0x03,,
1.143881375,0x1E,,
1.143891375,0xF2,,
1.143901375,0x01,,
1.143911375,0xE5,,
1.14885525,0xFF,,
1.1488653125,0xFF,,
1.1488753125,0x02,,
1.1488853125,0x05,,
1.1488953125,0x03,,
1.1489053125,0x1E,,
1.1489153125,0xE6,,
1.1489253125,0x01,,
1.1489353125,0xF0,,
1.1537246875,0xFF,,
1.1537346875,0xFF,,
1.1537446875,0x03,,
1.1537546875,0x05,,
1.1537646875,0x03,,
1.1537746875,0x1E,,
1.1537846875,0x19,,
1.15379475,0x02,,
1.15380475,0xBB,,
1.158839375,0xFF,,
1.158849375,0xFF,,
1.158859375,0x04,,
1.158869375,0x05,,
1.158879375,0x03,,
1.158889375,0x1E,,
1.158899375,0x0D,,
1.158909375,0x02,,
1.158919375,0xC6,,
1.160758375,0xFF,,
1.160768375,0xFF,,
1.160778375,0x17,,
1.160788375,0x05,,
1.160798375,0x03,,
1.160808375,0x1E,,
1.160818375,0x66,,
1.160828375,0x02,,
1.160838375,0x5A,,
1.1613970625,0xFF,,
1.161407125,0xFF,,
1.161417125,0x12,,
1.161427125,0x05,,
1.161437125,0x03,,
1.161447125,0x1E,,
1.161457125,0xD5,,
1.161467125,0x02,,
1.161477125,0xF0,,
1.1620755625,0xFF,,
1.1620855625,0xFF,,
1.1620955625,0x10,,
1.1621055625,0x05,,
1.1621155625,0x03,,
1.1621255625,0x1E,,
1.1621355625,0x00,,
1.1621455625,0x02,,
1.162155625,0xC7,,
1.1626888125,0xFF,,
1.1626988125,0xFF,,
1.1627088125,0x23,,
1.1627188125,0x04,,
1.1627288125,0x03,,
1.1627388125,0x20,,
1.1627488125,0xFF,,
1.1627588125,0xB6,,
1.20169325,0xFF,,
1.20170325,0xFF,,
1.20171325,0x01,,
1.20172325,0x05,,
1.20173325,0x03,,
1.20174325,0x1E,,
1.20175325,0xF3,,
1.20176325,0x01,,
1.20177325,0xE4,,
1.2067426875,0xFF,,
1.2067526875,0xFF,,
1.2067626875,0x02,,
1.2067726875,0x05,,
1.2067826875,0x03,,
1.2067926875,0x1E,,
1.2068026875,0xE7,,
1.2068126875,0x01,,
1.2068226875,0xEF,,
1.2117219375,0xFF,,
1.2117319375,0xFF,,
1.2117419375,0x03,,
1.2117519375,0x05,,
1.2117619375,0x03,,
1.211772,0x1E,,
1.211782,0x1A,,
1.211792,0x02,,
1.211802,0xBA,,
1.21659775,0xFF,,
1.21660775,0xFF,,
1.21661775,0x04,,
1.21662775,0x05,,
1.21663775,0x03,,
1.21664775,0x1E,,
1.21665775,0x0E,,
1.21666775,0x02,,
1.21667775,0xC5,,
1.2186663125,0xFF,,
1.2186763125,0xFF,,
1.2186863125,0x17,,
1.2186963125,0x05,,
1.2187063125,0x03,,
1.2187163125,0x1E,,
1.2187263125,0x66,,
1.218736375,0x02,,
1.218746375,0x5A,,
1.2193241875,0xFF,,
1.2193341875,0xFF,,
1.2193441875,0x12,,
1.2193541875,0x05,,
1.2193641875,0x03,,
1.2193741875,0x1E,,
1.21938425,0xD5,,
1.21939425,0x02,,
1.21940425,0xF0,,
1.2199693125,0xFF,,
